이름,평점,주소,좌표,구,위도,경도,Cluster
신촌감자탕해물뼈찜,-,서울특별시 강서구 강서로 375,"(37.5590773, 126.8380859)",강서구,37.5590773,126.83808590000001,[10]
진1926,-,서울특별시 강서구 마곡중앙로 161-8,"(37.5690563, 126.8265403)",강서구,37.5690563,126.82654029999999,[]
쿠타니,-,서울특별시 강서구 화곡로 350 SJ라벨라 2F,"(37.5549147, 126.8523346)",강서구,37.554914700000005,126.85233459999999,[12]
풍경,-,서울특별시 강서구 양천로47가길 43,"(37.5712527, 126.8399944)",강서구,37.5712527,126.83999440000001,[]
다래정,-,서울특별시 강서구 공항대로59길 20,"(37.5524422, 126.8639289)",강서구,37.5524422,126.8639289,[9]
로빈뮤지엄,-,부산광역시 강서구 신호산단1로140번길 71 1F,"(35.0852244, 128.8779797)",강서구,35.0852244,128.8779797,[]
녹산용가든,-,부산광역시 강서구 낙동남로682번길 94,"(35.1181886, 128.8919971)",강서구,35.118188599999996,128.8919971,[]
오재영스시,-,서울특별시 강서구 까치산로2길 4 싱글하우스고시텔 1F,"(37.5409245, 126.8421426)",강서구,37.5409245,126.8421426,[]
타이투고,-,서울특별시 강서구 마곡중앙6로 45 마곡리더스퀘어 115호,"(37.5619185, 126.826919)",강서구,37.5619185,126.82691899999999,[10]
쓰부,-,서울특별시 강서구 까치산로 75 신화빌딩,"(37.5390098, 126.9442792)",강서구,37.5390098,126.94427920000001,[38]
강서복집,-,서울특별시 강서구 공항대로59길 8,"(37.5519926, 126.8640218)",강서구,37.551992600000005,126.86402179999999,[9]
오봉집,-,서울특별시 강서구 마곡동로4길 15 2F,"(37.5590032, 126.8343207)",강서구,37.5590032,126.83432069999999,[10]
이치방라멘,-,서울특별시 강서구 강서로 271,"(37.54983410000001, 126.83594)",강서구,37.5498341,126.83594,[]
호호방,-,서울특별시 강서구 마곡중앙로 161-1 마곡나루캐슬파크 115호,"(37.5677127, 126.8276089)",강서구,37.5677127,126.82760890000002,[]
조병관숙성회,-,서울특별시 강서구 화곡로50길 28 102호,"(37.5490132, 126.8493507)",강서구,37.549013200000005,126.8493507,[]
교대이층집,4.6,서울특별시 강서구 강서로 381 수창빌딩 2F,"(37.5595332, 126.8382334)",강서구,37.559533200000004,126.83823340000001,[10]
더족발,-,서울특별시 강서구 양천로57길 10-20 1F,"(37.5625848, 126.8529938)",강서구,37.5625848,126.85299380000001,[12]
하우돈곱창,-,서울특별시 강서구 초원로 61,"(37.5678599, 126.8122258)",강서구,37.5678599,126.8122258,[]
메리하하,-,서울특별시 강서구 강서로33길 32,"(37.5416742, 126.8380279)",강서구,37.5416742,126.83802790000001,[]
하코야라멘,-,서울특별시 강서구 양천로 583 우림 블루나인 비즈니스센터 313호,"(37.556904, 126.8642901)",강서구,37.556903999999996,126.86429009999998,[9]
야끼화로,-,서울특별시 강서구 강서로56길 24,"(37.5593245, 126.8400515)",강서구,37.5593245,126.84005149999999,[10]
만배아리랑,-,서울특별시 강서구 화곡로18길 24,"(37.53882670000001, 126.8363151)",강서구,37.53882670000001,126.83631509999998,[]
한우등촌골,-,서울특별시 강서구 등촌로 201,"(37.5476288, 126.8627017)",강서구,37.54762879999999,126.8627017,[9]
삐삐커피,-,서울특별시 강서구 강서로54길 93 1F,"(37.5587221, 126.8438535)",강서구,37.558722100000004,126.8438535,[10]
